날짜,S&P500,미국채10년,GSCI,기준금리,연도
2022-05-04,4300.17,2.946,3958.5029,1.5,2022
2022-05-03,4175.48,2.975,3837.0591,1.5,2022
2022-05-02,4155.38,2.977,3903.085,1.5,2022
2022-04-29,4131.93,2.938,3882.991,1.5,2022
2022-04-28,4287.5,2.832,3884.427,1.5,2022
2022-04-27,4183.96,2.826,3844.8201,1.5,2022
2022-04-26,4175.2,2.728,3807.1841,1.5,2022
2022-04-25,4296.12,2.818,3729.6399,1.5,2022
2022-04-22,4271.78,2.905,3822.0459,1.5,2022
2022-04-21,4393.66,2.908,3873.083,1.5,2022
2022-04-20,4459.45,2.834,3852.9009,1.5,2022
2022-04-19,4462.21,2.94,3846.8069,1.5,2022
2022-04-18,4391.69,2.857,3982.135,1.5,2022
2022-04-14,4392.59,2.828,3923.4021,1.5,2022
2022-04-13,4446.59,2.703,3852.811,1.25,2022
2022-04-12,4397.45,2.727,3760.3091,1.25,2022
2022-04-11,4412.53,2.774,3617.53,1.25,2022
2022-04-08,4488.28,2.704,3683.3711,1.25,2022
2022-04-07,4500.21,2.665,3621.4529,1.25,2022
2022-04-06,4481.15,2.598,3640.302,1.25,2022
2022-04-05,4525.12,2.554,3748.478,1.25,2022
2022-04-04,4582.64,2.393,3762.8701,1.25,2022
2022-04-01,4545.86,2.389,3678.741,1.25,2022
2022-03-31,4530.41,2.345,3693.877,1.25,2022
2022-03-30,4602.45,2.358,3830.1841,1.25,2022
2022-03-29,4631.6,2.398,3732.6169,1.25,2022
2022-03-28,4575.52,2.466,3808.178,1.25,2022
2022-03-25,4543.04,2.488,3986.3279,1.25,2022
2022-03-24,4520.16,2.37,3951.4141,1.25,2022
2022-03-23,4456.23,2.29,3992.658,1.25,2022
2022-03-22,4511.61,2.381,3850.54,1.25,2022
2022-03-21,4461.18,2.297,3855.364,1.25,2022
2022-03-18,4463.09,2.153,3700.45,1.25,2022
2022-03-17,4411.67,2.167,3687.875,1.25,2022
2022-03-16,4357.95,2.192,3490.324,1.25,2022
2022-03-15,4262.45,2.149,3534.095,1.25,2022
2022-03-14,4173.11,2.142,3651.7881,1.25,2022
2022-03-11,4204.31,1.997,3777.8049,1.25,2022
2022-03-10,4259.52,1.993,3698.8621,1.25,2022
2022-03-09,4277.88,1.951,3780.4419,1.25,2022
2022-03-08,4170.62,1.84,4152.1602,1.25,2022
2022-03-07,4201.09,1.777,4040.1919,1.25,2022
2022-03-04,4328.87,1.737,3921.458,1.25,2022
2022-03-03,4363.49,1.84,3733.8469,1.25,2022
2022-03-02,4386.54,1.878,3734.894,1.25,2022
2022-03-01,4306.26,1.716,3558.3401,1.25,2022
2022-02-28,4373.79,1.822,3369.301,1.25,2022
2022-02-25,4384.62,1.97,3266.9109,1.25,2022
2022-02-24,4288.7,1.97,3341.8611,1.25,2022
2022-02-23,4225.5,1.998,3298.0601,1.25,2022
2022-02-22,4304.74,1.944,3284.8469,1.25,2022
2022-02-18,4348.87,1.927,3221.5049,1.25,2022
2022-02-17,4380.26,1.968,3213.0969,1.25,2022
2022-02-16,4475.01,2.04,3243.343,1.25,2022
2022-02-15,4471.07,2.043,3196.6111,1.25,2022
2022-02-14,4401.67,1.986,3265.29,1.25,2022
2022-02-11,4418.64,1.918,3218.686,1.25,2022
2022-02-10,4504.06,2.043,3174.8,1.25,2022
2022-02-09,4587.18,1.945,3177.708,1.25,2022
2022-02-08,4521.54,1.965,3147.0081,1.25,2022
2022-02-07,4483.87,1.919,3183.1589,1.25,2022
2022-02-04,4500.54,1.916,3193.0991,1.25,2022
2022-02-03,4477.44,1.836,3153.45,1.25,2022
2022-02-02,4589.32,1.771,3132.8401,1.25,2022
2022-02-01,4546.54,1.795,3111.999,1.25,2022
2022-01-31,4515.55,1.784,3097.5291,1.25,2022
2022-01-28,4431.85,1.778,3080.4199,1.25,2022
2022-01-27,4326.5,1.803,3062.499,1.25,2022
2022-01-26,4349.93,1.873,3076.4131,1.25,2022
2022-01-25,4356.45,1.776,3034.137,1.25,2022
2022-01-24,4410.13,1.776,2987.147,1.25,2022
2022-01-21,4397.93,1.77,3023.373,1.25,2022
2022-01-20,4482.73,1.811,3035.978,1.25,2022
2022-01-19,4532.76,1.854,3033.7749,1.25,2022
2022-01-18,4577.34,1.875,2997.6851,1.25,2022
2022-01-14,4662.85,1.793,2963.094,1.25,2022
2022-01-13,4659.02,1.701,2929.896,1.0,2022
2022-01-12,4726.35,1.752,2954.6509,1.0,2022
2022-01-11,4713.07,1.746,2913.2629,1.0,2022
2022-01-10,4670.29,1.755,2843.564,1.0,2022
2022-01-07,4677.02,1.765,2859.877,1.0,2022
2022-01-06,4696.05,1.728,2858.134,1.0,2022
2022-01-05,4700.58,1.7,2843.812,1.0,2022
2022-01-04,4793.54,1.649,2823.22,1.0,2022
2022-01-03,4796.56,1.637,2791.0759,1.0,2022
2021-12-31,4766.18,1.512,2774.7261,1.0,2021
2021-12-30,4778.73,1.507,2808.291,1.0,2021
2021-12-29,4793.06,1.556,2812.3779,1.0,2021
2021-12-28,4786.36,1.484,2799.4031,1.0,2021
2021-12-27,4791.19,1.477,2801.1531,1.0,2021
2021-12-23,4725.78,1.493,2760.6621,1.0,2021
2021-12-22,4696.56,1.453,2738.4951,1.0,2021
2021-12-21,4649.23,1.467,2692.887,1.0,2021
2021-12-20,4568.02,1.428,2623.8701,1.0,2021
2021-12-17,4620.64,1.407,2671.342,1.0,2021
2021-12-16,4668.67,1.424,2699.9509,1.0,2021
2021-12-15,4709.84,1.458,2651.5879,1.0,2021
2021-12-14,4634.09,1.441,2664.2539,1.0,2021
2021-12-13,4669.15,1.414,2678.8879,1.0,2021
2021-12-10,4712.02,1.482,2690.5549,1.0,2021
2021-12-09,4667.45,1.497,2676.28,1.0,2021
2021-12-08,4701.21,1.528,2703.47,1.0,2021
2021-12-07,4686.75,1.482,2689.4299,1.0,2021
2021-12-06,4591.67,1.433,2637.53,1.0,2021
2021-12-03,4538.43,1.356,2592.321,1.0,2021
2021-12-02,4577.1,1.444,2587.5649,1.0,2021
2021-12-01,4513.04,1.404,2573.2351,1.0,2021
2021-11-30,4567.0,1.456,2578.938,1.0,2021
2021-11-29,4655.27,1.502,2677.822,1.0,2021
2021-11-26,4594.62,1.482,2665.228,1.0,2021
2021-11-24,4701.46,1.643,2868.01,0.75,2021
2021-11-23,4690.7,1.676,2865.3311,0.75,2021
2021-11-22,4682.95,1.632,2820.3149,0.75,2021
2021-11-19,4697.96,1.548,2799.4919,0.75,2021
2021-11-18,4706.64,1.587,2838.4761,0.75,2021
2021-11-17,4688.67,1.585,2824.8779,0.75,2021
2021-11-16,4700.9,1.64,2864.7759,0.75,2021
2021-11-15,4682.81,1.618,2862.72,0.75,2021
2021-11-12,4682.85,1.57,2861.1289,0.75,2021
2021-11-11,4649.27,1.578,2875.645,0.75,2021
2021-11-10,4646.71,1.57,2857.0439,0.75,2021
2021-11-09,4685.25,1.439,2891.0381,0.75,2021
2021-11-08,4701.7,1.493,2868.2981,0.75,2021
2021-11-05,4697.53,1.455,2854.8401,0.75,2021
2021-11-04,4680.06,1.53,2820.23,0.75,2021
2021-11-03,4660.57,1.603,2855.1521,0.75,2021
2021-11-02,4630.65,1.547,2915.2949,0.75,2021
2021-11-01,4613.67,1.561,2912.4651,0.75,2021
2021-10-29,4605.38,1.561,2891.9509,0.75,2021
2021-10-28,4596.42,1.578,2896.802,0.75,2021
2021-10-27,4551.68,1.55,2900.7581,0.75,2021
2021-10-26,4574.79,1.61,2940.4131,0.75,2021
2021-10-25,4566.48,1.633,2932.7739,0.75,2021
2021-10-22,4544.9,1.638,2901.0061,0.75,2021
2021-10-21,4549.78,1.696,2880.2019,0.75,2021
2021-10-20,4536.19,1.66,2929.115,0.75,2021
2021-10-19,4519.63,1.641,2900.1431,0.75,2021
2021-10-18,4486.48,1.591,2892.866,0.75,2021
2021-10-15,4471.37,1.574,2909.1799,0.75,2021
2021-10-14,4438.23,1.516,2880.615,0.75,2021
2021-10-13,4363.8,1.542,2847.5811,0.75,2021
2021-10-12,4350.64,1.572,2847.2339,0.75,2021
2021-10-11,4361.19,1.628,2853.8469,0.75,2021
2021-10-08,4391.36,1.612,2830.677,0.75,2021
2021-10-07,4399.76,1.576,2814.0,0.75,2021
2021-10-06,4363.55,1.528,2789.6299,0.75,2021
2021-10-05,4345.72,1.528,2839.2549,0.75,2021
2021-10-04,4300.46,1.481,2799.4529,0.75,2021
2021-10-01,4357.05,1.465,2754.0959,0.75,2021
2021-09-30,4307.54,1.492,2733.489,0.75,2021
2021-09-29,4359.46,1.524,2717.8479,0.75,2021
2021-09-28,4352.63,1.546,2732.9971,0.75,2021
2021-09-27,4443.11,1.491,2738.2839,0.75,2021
2021-09-24,4455.48,1.453,2694.3491,0.75,2021
2021-09-23,4448.98,1.435,2676.1631,0.75,2021
2021-09-22,4395.64,1.304,2643.3049,0.75,2021
2021-09-21,4354.18,1.328,2593.2739,0.75,2021
2021-09-20,4357.73,1.312,2595.4851,0.75,2021
2021-09-17,4432.99,1.363,2641.0481,0.75,2021
2021-09-16,4473.76,1.336,2659.2971,0.75,2021
2021-09-15,4480.7,1.304,2671.2361,0.75,2021
2021-09-14,4443.05,1.284,2616.8601,0.75,2021
2021-09-13,4468.73,1.326,2612.9041,0.75,2021
2021-09-10,4458.58,1.343,2601.8889,0.75,2021
2021-09-09,4493.28,1.297,2569.4939,0.75,2021
2021-09-08,4514.07,1.336,2586.594,0.75,2021
2021-09-07,4520.03,1.377,2566.873,0.75,2021
2021-09-03,4535.43,1.326,2599.9871,0.75,2021
2021-09-02,4536.95,1.285,2603.7529,0.75,2021
2021-09-01,4524.09,1.299,2571.697,0.75,2021
2021-08-31,4522.68,1.307,2577.9529,0.75,2021
2021-08-30,4528.79,1.28,2589.3459,0.75,2021
2021-08-27,4509.37,1.31,2586.4009,0.75,2021
2021-08-26,4469.91,1.354,2549.678,0.75,2021
2021-08-25,4496.19,1.349,2563.0581,0.5,2021
2021-08-24,4486.23,1.297,2542.4231,0.5,2021
