date,sp,doller,fed,gdp,cpi
2022-03-31,"4,530.41",98.309998,0.33,24382.683,287.708
2022-03-30,"4,602.45",97.790001,0.33,24382.683,287.708
2022-03-29,"4,631.60",98.400002,0.33,24382.683,287.708
2022-03-28,"4,575.52",99.089996,0.33,24382.683,287.708
2022-03-25,"4,543.06",98.809998,0.33,24382.683,287.708
2022-03-24,"4,520.16",98.790001,0.33,24382.683,287.708
2022-03-23,"4,456.24",98.620003,0.33,24382.683,287.708
2022-03-22,"4,511.61",98.489998,0.33,24382.683,287.708
2022-03-21,"4,461.18",98.5,0.33,24382.683,287.708
2022-03-18,"4,463.12",98.230003,0.33,24382.683,287.708
2022-03-17,"4,411.67",98.010002,0.33,24382.683,287.708
2022-03-16,"4,357.86",98.379997,0.08,24382.683,287.708
2022-03-15,"4,262.45",99.07,0.08,24382.683,287.708
2022-03-14,"4,173.11",99.059998,0.08,24382.683,287.708
2022-03-11,"4,204.31",99.120003,0.08,24382.683,287.708
2022-03-10,"4,259.52",98.510002,0.08,24382.683,287.708
2022-03-09,"4,277.88",97.970001,0.08,24382.683,287.708
2022-03-08,"4,170.70",99.059998,0.08,24382.683,287.708
2022-03-07,"4,201.09",99.290001,0.08,24382.683,287.708
2022-03-04,"4,328.87",98.650002,0.08,24382.683,287.708
2022-03-03,"4,363.49",97.790001,0.08,24382.683,287.708
2022-03-02,"4,386.54",97.389999,0.08,24382.683,287.708
2022-03-01,"4,306.26",97.410004,0.08,24382.683,287.708
2022-02-28,"4,373.94",96.709999,0.08,24382.683,284.182
2022-02-25,"4,384.65",96.620003,0.08,24382.683,284.182
2022-02-24,"4,288.70",97.139999,0.08,24382.683,284.182
2022-02-23,"4,225.50",96.190002,0.08,24382.683,284.182
2022-02-22,"4,304.76",96.029999,0.08,24382.683,284.182
2022-02-18,"4,348.87",96.040001,0.08,24382.683,284.182
2022-02-17,"4,380.26",95.800003,0.08,24382.683,284.182
2022-02-16,"4,475.01",95.699997,0.08,24382.683,284.182
2022-02-15,"4,471.07",95.989998,0.08,24382.683,284.182
2022-02-14,"4,401.67",96.370003,0.08,24382.683,284.182
2022-02-11,"4,418.64",96.080002,0.08,24382.683,284.182
2022-02-10,"4,504.08",95.550003,0.08,24382.683,284.182
2022-02-09,"4,587.18",95.489998,0.08,24382.683,284.182
2022-02-08,"4,521.54",95.639999,0.08,24382.683,284.182
2022-02-07,"4,483.87",95.400002,0.08,24382.683,284.182
2022-02-04,"4,500.53",95.480003,0.08,24382.683,284.182
2022-02-03,"4,477.44",95.379997,0.08,24382.683,284.182
2022-02-02,"4,589.38",95.940002,0.08,24382.683,284.182
2022-02-01,"4,546.54",96.389999,0.08,24382.683,284.182
2022-01-31,"4,515.55",96.540001,0.08,24382.683,281.933
2022-01-28,"4,431.85",97.269997,0.08,24382.683,281.933
2022-01-27,"4,326.51",97.260002,0.08,24382.683,281.933
2022-01-26,"4,349.93",96.489998,0.08,24382.683,281.933
2022-01-25,"4,356.45",95.949997,0.08,24382.683,281.933
2022-01-24,"4,410.13",95.919998,0.08,24382.683,281.933
2022-01-21,"4,397.94",95.639999,0.08,24382.683,281.933
2022-01-20,"4,482.73",95.739998,0.08,24382.683,281.933
2022-01-19,"4,532.76",95.510002,0.08,24382.683,281.933
2022-01-18,"4,577.11",95.730003,0.08,24382.683,281.933
2022-01-14,"4,662.85",95.169998,0.08,24382.683,281.933
2022-01-13,"4,659.03",94.790001,0.08,24382.683,281.933
2022-01-12,"4,726.35",95.0,0.08,24382.683,281.933
