"Year","Real GDP of LDCs","Real global GDP per capita"
"2000",4.473319526,3.072956122
"2001",5.655416075,0.795037396
"2002",6.194148342,0.993799353
"2003",5.625181874,1.843707693
"2004",6.862872778,3.19092863
"2005",7.950918219,2.776138754
"2006",7.056822767,3.239137186
"2007",8.248969004,3.107690956
"2008",6.371760795,0.777433956
"2009",5.114576073,-2.47289997
"2010",6.312599619,3.180104783
"2011",4.583250772,2.038817631
"2012",5.696796857,1.534760313
"2013",6.082970124,1.543905488
"2014",5.656194717,1.850359352
"2015",3.560710427,1.925638867
"2016",3.713999121,1.535079594
"2017",4.847197067,2.216913854
"2018",5.00837445,2.009097927
"2019",4.8,1.3
"2020 projected",-0.3,-4.611384493
"2021 projected",4,4.327071635
"2022 projected",5,3.066048812
