날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 05월 05일,"4,152.38","4,255.50","4,256.39","4,105.51",-,-3.44%
2022년 05월 04일,"4,300.17","4,181.18","4,307.66","4,148.91",-,2.99%
2022년 05월 03일,"4,175.48","4,159.78","4,200.10","4,147.08",-,0.48%
2022년 05월 02일,"4,155.38","4,130.61","4,169.81","4,062.51",-,0.57%
2022년 04월 29일,"4,131.93","4,253.75","4,269.68","4,124.28",-,-3.63%
2022년 04월 28일,"4,287.50","4,222.58","4,308.45","4,188.63",-,2.47%
2022년 04월 27일,"4,183.96","4,186.52","4,240.71","4,162.90",-,0.21%
2022년 04월 26일,"4,175.20","4,278.14","4,278.14","4,175.04",-,-2.81%
2022년 04월 25일,"4,296.12","4,255.34","4,299.02","4,200.82",-,0.57%
2022년 04월 22일,"4,271.78","4,385.83","4,385.83","4,267.62",-,-2.77%
2022년 04월 21일,"4,393.66","4,489.17","4,512.94","4,384.47",-,-1.48%
2022년 04월 20일,"4,459.45","4,472.26","4,488.29","4,448.76",-,-0.06%
2022년 04월 19일,"4,462.21","4,390.63","4,471.03","4,390.63",-,1.61%
2022년 04월 18일,"4,391.69","4,385.63","4,410.31","4,370.30",-,-0.02%
2022년 04월 14일,"4,392.59","4,449.12","4,460.46","4,390.77",-,-1.21%
2022년 04월 13일,"4,446.59","4,394.30","4,453.92","4,392.70",-,1.12%
2022년 04월 12일,"4,397.45","4,437.59","4,471.00","4,381.34",-,-0.34%
2022년 04월 11일,"4,412.53","4,462.64","4,464.35","4,408.38",-,-1.69%
2022년 04월 08일,"4,488.28","4,494.15","4,520.41","4,474.60",-,-0.27%
2022년 04월 07일,"4,500.21","4,474.65","4,521.16","4,450.30",-,0.43%
2022년 04월 06일,"4,481.15","4,494.17","4,503.94","4,450.04",-,-0.97%
2022년 04월 05일,"4,525.12","4,572.45","4,593.45","4,514.17",-,-1.26%
2022년 04월 04일,"4,582.64","4,547.97","4,583.50","4,539.21",-,0.81%
2022년 04월 01일,"4,545.86","4,540.32","4,548.70","4,507.57",-,0.34%
2022년 03월 31일,"4,530.41","4,599.02","4,603.07","4,530.41",-,-1.57%
2022년 03월 30일,"4,602.45","4,624.20","4,627.77","4,581.32",-,-0.63%
2022년 03월 29일,"4,631.60","4,602.86","4,637.30","4,589.66",-,1.23%
2022년 03월 28일,"4,575.52","4,541.09","4,575.65","4,517.69",-,0.71%
2022년 03월 25일,"4,543.04","4,522.91","4,546.03","4,501.07",-,0.51%
2022년 03월 24일,"4,520.16","4,469.98","4,520.58","4,465.17",-,1.43%
2022년 03월 23일,"4,456.23","4,493.10","4,501.07","4,455.81",-,-1.23%
2022년 03월 22일,"4,511.61","4,469.10","4,522.00","4,469.10",-,1.13%
2022년 03월 21일,"4,461.18","4,462.40","4,481.75","4,424.30",-,-0.04%
2022년 03월 18일,"4,463.09","4,407.34","4,465.40","4,390.57",-,1.17%
2022년 03월 17일,"4,411.67","4,345.11","4,412.67","4,335.65",-,1.23%
2022년 03월 16일,"4,357.95","4,288.14","4,358.90","4,251.99",-,2.24%
2022년 03월 15일,"4,262.45","4,188.82","4,271.05","4,187.90",-,2.14%
2022년 03월 14일,"4,173.11","4,202.75","4,247.57","4,161.72",-,-0.74%
2022년 03월 11일,"4,204.31","4,279.50","4,291.01","4,200.49",-,-1.30%
2022년 03월 10일,"4,259.52","4,252.55","4,268.28","4,209.80",-,-0.43%
2022년 03월 09일,"4,277.88","4,223.10","4,299.40","4,223.10",-,2.57%
2022년 03월 08일,"4,170.62","4,202.66","4,276.94","4,157.87",-,-0.73%
2022년 03월 07일,"4,201.09","4,327.01","4,327.01","4,199.85",-,-2.95%
2022년 03월 04일,"4,328.87","4,342.12","4,342.12","4,284.98",-,-0.79%
2022년 03월 03일,"4,363.49","4,401.31","4,416.78","4,350.37",-,-0.53%
2022년 03월 02일,"4,386.54","4,322.56","4,401.48","4,322.56",-,1.86%
2022년 03월 01일,"4,306.26","4,363.14","4,378.45","4,279.54",-,-1.54%
2022년 02월 28일,"4,373.79","4,354.17","4,388.84","4,315.12",-,-0.25%
2022년 02월 25일,"4,384.62","4,298.38","4,385.34","4,286.83",-,2.24%
2022년 02월 24일,"4,288.70","4,155.77","4,294.73","4,114.65",-,1.50%
2022년 02월 23일,"4,225.50","4,324.93","4,341.51","4,221.51",-,-1.84%
2022년 02월 22일,"4,304.74","4,332.74","4,362.12","4,267.11",-,-1.01%
2022년 02월 18일,"4,348.87","4,384.57","4,394.60","4,327.22",-,-0.72%
2022년 02월 17일,"4,380.26","4,456.06","4,456.06","4,373.81",-,-2.12%
2022년 02월 16일,"4,475.01","4,455.75","4,489.55","4,429.68",-,0.09%
2022년 02월 15일,"4,471.07","4,429.28","4,472.77","4,429.28",-,1.58%
2022년 02월 14일,"4,401.67","4,412.61","4,426.22","4,364.84",-,-0.38%
2022년 02월 11일,"4,418.64","4,506.27","4,526.33","4,401.41",-,-1.90%
2022년 02월 10일,"4,504.06","4,553.24","4,588.92","4,484.31",-,-1.81%
2022년 02월 09일,"4,587.18","4,547.00","4,590.03","4,547.00",-,1.45%
2022년 02월 08일,"4,521.54","4,480.02","4,531.32","4,465.40",-,0.84%
2022년 02월 07일,"4,483.87","4,505.75","4,521.86","4,471.47",-,-0.37%
2022년 02월 04일,"4,500.54","4,482.79","4,539.66","4,451.50",-,0.52%
2022년 02월 03일,"4,477.44","4,535.41","4,542.88","4,470.39",-,-2.44%
2022년 02월 02일,"4,589.32","4,566.39","4,595.31","4,544.32",-,0.94%
2022년 02월 01일,"4,546.54","4,519.57","4,550.49","4,483.53",-,0.69%
2022년 01월 31일,"4,515.55","4,431.79","4,516.89","4,414.02",-,1.89%
2022년 01월 28일,"4,431.85","4,336.19","4,432.72","4,292.46",-,2.43%
2022년 01월 27일,"4,326.50","4,380.58","4,428.74","4,309.50",-,-0.54%
2022년 01월 26일,"4,349.93","4,408.43","4,453.23","4,304.80",-,-0.15%
2022년 01월 25일,"4,356.45","4,366.64","4,411.01","4,287.11",-,-1.22%
2022년 01월 24일,"4,410.13","4,356.32","4,417.35","4,222.62",-,0.28%
2022년 01월 21일,"4,397.93","4,471.38","4,494.52","4,395.34",-,-1.89%
2022년 01월 20일,"4,482.73","4,547.35","4,602.11","4,477.95",-,-1.10%
2022년 01월 19일,"4,532.76","4,588.03","4,611.55","4,530.20",-,-0.97%
2022년 01월 18일,"4,577.34","4,632.24","4,632.24","4,568.70",-,-1.83%
2022년 01월 14일,"4,662.85","4,637.99","4,665.13","4,614.75",-,0.08%
2022년 01월 13일,"4,659.02","4,733.56","4,744.13","4,650.29",-,-1.42%
2022년 01월 12일,"4,726.35","4,728.59","4,748.83","4,706.71",-,0.28%
2022년 01월 11일,"4,713.07","4,669.14","4,714.13","4,638.27",-,0.92%
2022년 01월 10일,"4,670.29","4,655.34","4,673.02","4,582.24",-,-0.14%
2022년 01월 07일,"4,677.02","4,697.66","4,707.95","4,662.74",-,-0.41%
2022년 01월 06일,"4,696.05","4,693.39","4,725.01","4,671.26",-,-0.10%
2022년 01월 05일,"4,700.58","4,787.99","4,797.70","4,699.44",-,-1.94%
2022년 01월 04일,"4,793.54","4,804.51","4,818.62","4,774.27",-,-0.06%
2022년 01월 03일,"4,796.56","4,778.14","4,796.64","4,758.17",-,0.64%
2021년 12월 31일,"4,766.18","4,775.21","4,786.83","4,765.75",-,-0.26%
2021년 12월 30일,"4,778.73","4,794.23","4,808.93","4,775.33",-,-0.30%
2021년 12월 29일,"4,793.06","4,788.64","4,804.06","4,778.08",-,0.14%
2021년 12월 28일,"4,786.36","4,795.49","4,807.02","4,780.04",-,-0.10%
2021년 12월 27일,"4,791.19","4,733.99","4,791.49","4,733.99",-,1.38%
2021년 12월 23일,"4,725.78","4,703.96","4,740.74","4,703.96",-,0.62%
2021년 12월 22일,"4,696.56","4,650.36","4,697.67","4,645.53",-,1.02%
2021년 12월 21일,"4,649.23","4,594.96","4,651.14","4,583.16",-,1.78%
2021년 12월 20일,"4,568.02","4,587.90","4,587.90","4,531.10",-,-1.14%
2021년 12월 17일,"4,620.64","4,652.50","4,666.70","4,600.22",-,-1.03%
2021년 12월 16일,"4,668.67","4,719.13","4,731.99","4,651.89",-,-0.87%
2021년 12월 15일,"4,709.84","4,636.46","4,712.60","4,611.22",-,1.63%
2021년 12월 14일,"4,634.09","4,642.99","4,660.47","4,606.52",-,-0.75%
2021년 12월 13일,"4,669.15","4,710.30","4,710.30","4,667.60",-,-0.91%
2021년 12월 10일,"4,712.02","4,687.64","4,713.57","4,670.24",-,0.95%
2021년 12월 09일,"4,667.45","4,691.00","4,695.26","4,665.98",-,-0.72%
2021년 12월 08일,"4,701.21","4,690.86","4,705.06","4,674.52",-,0.31%
2021년 12월 07일,"4,686.75","4,631.97","4,694.04","4,631.97",-,2.07%
2021년 12월 06일,"4,591.67","4,548.37","4,612.60","4,540.51",-,1.17%
2021년 12월 03일,"4,538.43","4,589.49","4,608.03","4,495.12",-,-0.84%
2021년 12월 02일,"4,577.10","4,504.73","4,595.46","4,504.73",-,1.42%
2021년 12월 01일,"4,513.04","4,602.82","4,652.94","4,510.27",-,-1.18%
2021년 11월 30일,"4,567.00","4,640.25","4,646.02","4,560.00",-,-1.90%
2021년 11월 29일,"4,655.27","4,628.75","4,672.95","4,625.26",-,1.32%
2021년 11월 26일,"4,594.62","4,664.63","4,664.63","4,585.43",-,-2.27%
2021년 11월 24일,"4,701.46","4,675.78","4,702.87","4,659.89",-,0.23%
2021년 11월 23일,"4,690.70","4,678.48","4,699.39","4,652.66",-,0.17%
2021년 11월 22일,"4,682.95","4,712.00","4,743.83","4,682.17",-,-0.32%
2021년 11월 19일,"4,697.96","4,708.44","4,717.75","4,694.22",-,-0.18%
2021년 11월 18일,"4,706.64","4,700.72","4,708.75","4,672.78",-,0.38%
2021년 11월 17일,"4,688.67","4,701.50","4,701.50","4,684.41",-,-0.26%
2021년 11월 16일,"4,700.90","4,679.42","4,714.95","4,679.42",-,0.39%
2021년 11월 15일,"4,682.81","4,689.30","4,697.42","4,672.86",-,0.00%
2021년 11월 12일,"4,682.85","4,655.24","4,688.47","4,650.77",-,0.72%
2021년 11월 11일,"4,649.27","4,659.39","4,664.55","4,648.31",-,0.06%
2021년 11월 10일,"4,646.71","4,670.26","4,684.85","4,630.86",-,-0.82%
2021년 11월 09일,"4,685.25","4,707.25","4,708.53","4,670.87",-,-0.35%
2021년 11월 08일,"4,701.70","4,701.48","4,714.92","4,694.39",-,0.09%
2021년 11월 05일,"4,697.53","4,699.26","4,718.50","4,681.32",-,0.37%
2021년 11월 04일,"4,680.06","4,662.93","4,683.00","4,662.59",-,0.42%
2021년 11월 03일,"4,660.57","4,630.65","4,663.46","4,621.19",-,0.65%
2021년 11월 02일,"4,630.65","4,613.34","4,635.15","4,613.34",-,0.37%
2021년 11월 01일,"4,613.67","4,610.62","4,620.34","4,595.06",-,0.18%
2021년 10월 29일,"4,605.38","4,572.87","4,608.08","4,567.59",-,0.19%
2021년 10월 28일,"4,596.42","4,562.84","4,597.55","4,562.84",-,0.98%
2021년 10월 27일,"4,551.68","4,580.22","4,584.57","4,551.66",-,-0.51%
2021년 10월 26일,"4,574.79","4,578.69","4,598.53","4,569.17",-,0.18%
2021년 10월 25일,"4,566.48","4,553.69","4,572.62","4,537.36",-,0.47%
2021년 10월 22일,"4,544.90","4,546.12","4,559.67","4,524.00",-,-0.11%
2021년 10월 21일,"4,549.78","4,532.24","4,551.44","4,526.89",-,0.30%
2021년 10월 20일,"4,536.19","4,524.42","4,540.87","4,524.40",-,0.37%
2021년 10월 19일,"4,519.63","4,497.34","4,520.40","4,496.41",-,0.74%
2021년 10월 18일,"4,486.48","4,463.72","4,488.75","4,447.47",-,0.34%
2021년 10월 15일,"4,471.37","4,447.69","4,475.82","4,447.69",-,0.75%
2021년 10월 14일,"4,438.23","4,386.75","4,439.73","4,386.75",-,1.71%
2021년 10월 13일,"4,363.80","4,358.01","4,372.87","4,329.92",-,0.30%
2021년 10월 12일,"4,350.64","4,368.31","4,374.89","4,342.09",-,-0.24%
2021년 10월 11일,"4,361.19","4,385.44","4,415.88","4,360.59",-,-0.69%
2021년 10월 08일,"4,391.36","4,406.51","4,412.02","4,386.22",-,-0.19%
2021년 10월 07일,"4,399.76","4,383.73","4,429.97","4,383.73",-,0.83%
2021년 10월 06일,"4,363.55","4,319.57","4,365.57","4,290.49",-,0.41%
2021년 10월 05일,"4,345.72","4,309.87","4,369.23","4,309.87",-,1.05%
2021년 10월 04일,"4,300.46","4,348.84","4,355.51","4,278.94",-,-1.30%
2021년 10월 01일,"4,357.05","4,317.16","4,375.19","4,288.52",-,1.15%
2021년 09월 30일,"4,307.54","4,370.67","4,382.55","4,306.24",-,-1.19%
2021년 09월 29일,"4,359.46","4,362.41","4,385.57","4,355.08",-,0.16%
2021년 09월 28일,"4,352.63","4,419.54","4,419.54","4,346.33",-,-2.04%
2021년 09월 27일,"4,443.11","4,442.12","4,457.30","4,436.19",-,-0.28%
2021년 09월 24일,"4,455.48","4,438.04","4,463.12","4,430.27",-,0.15%
2021년 09월 23일,"4,448.98","4,406.75","4,465.40","4,406.75",-,1.21%
2021년 09월 22일,"4,395.64","4,367.43","4,416.75","4,367.43",-,0.95%
2021년 09월 21일,"4,354.18","4,374.45","4,394.87","4,347.96",-,-0.08%
2021년 09월 20일,"4,357.73","4,402.95","4,402.95","4,305.91",-,-1.70%
2021년 09월 17일,"4,432.99","4,469.74","4,471.52","4,427.76",-,-0.91%
2021년 09월 16일,"4,473.76","4,477.09","4,485.87","4,443.80",-,-0.15%
2021년 09월 15일,"4,480.70","4,447.49","4,486.87","4,438.37",-,0.85%
2021년 09월 14일,"4,443.05","4,479.33","4,485.68","4,435.46",-,-0.57%
2021년 09월 13일,"4,468.73","4,474.81","4,492.99","4,445.70",-,0.23%
2021년 09월 10일,"4,458.58","4,506.92","4,520.47","4,457.66",-,-0.77%
2021년 09월 09일,"4,493.28","4,513.02","4,529.90","4,492.07",-,-0.46%
2021년 09월 08일,"4,514.07","4,518.09","4,521.79","4,493.95",-,-0.13%
2021년 09월 07일,"4,520.03","4,535.38","4,535.38","4,513.00",-,-0.34%
2021년 09월 03일,"4,535.43","4,532.42","4,541.45","4,521.30",-,-0.03%
2021년 09월 02일,"4,536.95","4,534.48","4,545.85","4,524.66",-,0.28%
2021년 09월 01일,"4,524.09","4,528.80","4,537.11","4,522.02",-,0.03%
2021년 08월 31일,"4,522.68","4,529.75","4,531.39","4,515.80",-,-0.13%
2021년 08월 30일,"4,528.79","4,513.76","4,537.36","4,513.76",-,0.43%
2021년 08월 27일,"4,509.37","4,474.10","4,513.33","4,474.10",-,0.88%
2021년 08월 26일,"4,469.91","4,493.75","4,495.90","4,468.99",-,-0.58%
2021년 08월 25일,"4,496.19","4,490.45","4,501.71","4,485.66",-,0.22%
2021년 08월 24일,"4,486.23","4,484.40","4,492.81","4,482.28",-,0.15%
2021년 08월 23일,"4,479.54","4,450.29","4,489.88","4,450.29",-,0.85%
2021년 08월 20일,"4,441.67","4,410.56","4,444.35","4,406.80",-,0.81%
2021년 08월 19일,"4,405.80","4,382.44","4,418.61","4,367.73",-,0.13%
2021년 08월 18일,"4,400.27","4,440.94","4,454.32","4,397.59",-,-1.07%
2021년 08월 17일,"4,448.08","4,462.12","4,462.12","4,417.83",-,-0.70%
2021년 08월 16일,"4,479.66","4,461.65","4,480.26","4,437.66",-,0.26%
2021년 08월 13일,"4,468.00","4,464.84","4,468.37","4,460.82",-,0.16%
2021년 08월 12일,"4,460.84","4,446.08","4,461.77","4,435.96",-,0.30%
2021년 08월 11일,"4,447.70","4,442.18","4,449.44","4,436.42",-,0.25%
2021년 08월 10일,"4,436.75","4,435.79","4,445.21","4,430.03",-,0.10%
2021년 08월 09일,"4,432.35","4,437.77","4,439.39","4,424.74",-,-0.09%
2021년 08월 06일,"4,436.52","4,429.07","4,440.82","4,429.07",-,0.17%
2021년 08월 05일,"4,429.10","4,408.86","4,429.76","4,408.86",-,0.60%
2021년 08월 04일,"4,402.68","4,415.95","4,416.17","4,400.23",-,-0.46%
2021년 08월 03일,"4,423.15","4,392.74","4,423.79","4,373.00",-,0.82%
2021년 08월 02일,"4,387.11","4,406.86","4,422.18","4,384.81",-,-0.19%
2021년 07월 30일,"4,395.26","4,395.12","4,412.25","4,389.65",-,-0.54%
2021년 07월 29일,"4,419.15","4,403.59","4,429.97","4,403.59",-,0.42%
2021년 07월 28일,"4,400.65","4,402.95","4,415.47","4,387.01",-,-0.02%
2021년 07월 27일,"4,401.46","4,416.38","4,416.38","4,372.51",-,-0.47%
