"날짜","종가","오픈","고가","저가","거래량","변동 %"
"1999년 10월 07일","2,566.3750","2,566.3750","2,566.3750","2,566.3750","-","-1.67%"
"1999년 10월 06일","2,610.0510","2,610.0510","2,610.0510","2,610.0510","-","-0.35%"
"1999년 10월 05일","2,619.2661","2,619.2661","2,619.2661","2,619.2661","-","-0.90%"
"1999년 10월 04일","2,642.9319","2,642.9319","2,642.9319","2,642.9319","-","-1.89%"
"1999년 10월 01일","2,693.7859","2,693.7859","2,693.7859","2,693.7859","-","0.02%"
"1999년 09월 30일","2,693.2830","2,693.2830","2,693.2830","2,693.2830","-","-0.98%"
"1999년 09월 29일","2,719.9951","2,719.9951","2,719.9951","2,719.9951","-","0.38%"
"1999년 09월 28일","2,709.8220","2,709.8220","2,709.8220","2,709.8220","-","-0.08%"
"1999년 09월 27일","2,712.0249","2,712.0249","2,712.0249","2,712.0249","-","0.37%"
"1999년 09월 24일","2,702.1379","2,702.1379","2,702.1379","2,702.1379","-","0.06%"
"1999년 09월 23일","2,700.5840","2,700.5840","2,700.5840","2,700.5840","-","2.36%"
"1999년 09월 22일","2,638.2739","2,638.2739","2,638.2739","2,638.2739","-","0.46%"
"1999년 09월 21일","2,626.1479","2,626.1479","2,626.1479","2,626.1479","-","-0.20%"
"1999년 09월 20일","2,631.4780","2,631.4780","2,631.4780","2,631.4780","-","-0.94%"
"1999년 09월 17일","2,656.4180","2,656.4180","2,656.4180","2,656.4180","-","0.53%"
"1999년 09월 16일","2,642.4009","2,642.4009","2,642.4009","2,642.4009","-","0.10%"
"1999년 09월 15일","2,639.7041","2,639.7041","2,639.7041","2,639.7041","-","-0.38%"
"1999년 09월 14일","2,649.8811","2,649.8811","2,649.8811","2,649.8811","-","-1.06%"
"1999년 09월 13일","2,678.2910","2,678.2910","2,678.2910","2,678.2910","-","0.62%"
"1999년 09월 10일","2,661.8091","2,661.8091","2,661.8091","2,661.8091","-","0.69%"
"1999년 09월 09일","2,643.4700","2,643.4700","2,643.4700","2,643.4700","-","1.72%"
