"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 08월 21일","55.68","56.05","57.13","55.55","704.04K","-1.17%"
"2019년 08월 20일","56.34","56.10","56.60","55.28","47.45K","0.23%"
"2019년 08월 19일","56.21","54.96","56.41","54.84","113.57K","2.44%"
"2019년 08월 16일","54.87","54.74","55.67","54.26","168.35K","0.73%"
"2019년 08월 15일","54.47","54.90","55.33","53.77","527.87K","-1.38%"
"2019년 08월 14일","55.23","56.74","56.85","53.97","718.29K","-3.27%"
"2019년 08월 13일","57.10","54.73","57.47","54.21","783.49K","3.95%"
"2019년 08월 12일","54.93","54.32","55.18","53.54","611.03K","0.79%"
"2019년 08월 09일","54.50","52.88","54.92","52.37","726.39K","3.73%"
"2019년 08월 08일","52.54","52.33","53.06","51.94","724.76K","2.84%"
"2019년 08월 07일","51.09","53.42","53.77","50.52","1.06M","-4.74%"
"2019년 08월 06일","53.63","54.95","55.42","53.29","682.79K","-1.94%"
"2019년 08월 05일","54.69","55.38","55.61","54.22","823.84K","-1.74%"
"2019년 08월 02일","55.66","54.54","56.05","54.15","739.81K","3.17%"
"2019년 08월 01일","53.95","57.85","57.99","53.59","886.75K","-7.90%"
"2019년 07월 31일","58.58","58.34","58.82","57.81","614.00K","0.91%"
"2019년 07월 30일","58.05","57.07","58.47","56.96","547.40K","2.07%"
"2019년 07월 29일","56.87","56.20","57.10","55.81","529.74K","1.19%"
"2019년 07월 26일","56.20","55.93","56.57","55.68","476.79K","0.32%"
"2019년 07월 25일","56.02","55.90","56.99","55.81","559.28K","0.25%"
"2019년 07월 24일","55.88","57.23","57.64","55.33","745.25K","-1.57%"
"2019년 07월 23일","56.77","56.17","57.47","55.74","521.88K","0.98%"
"2019년 07월 22일","56.22","56.22","56.84","55.72","24.30K","1.06%"
"2019년 07월 19일","55.63","55.72","56.36","54.99","105.22K","0.60%"
"2019년 07월 18일","55.30","56.60","57.32","54.72","215.36K","-2.61%"
"2019년 07월 17일","56.78","57.52","58.36","56.21","504.43K","-1.46%"
"2019년 07월 16일","57.62","59.26","60.06","57.07","712.54K","-3.29%"
"2019년 07월 15일","59.58","60.25","60.92","59.20","566.82K","-1.05%"
"2019년 07월 12일","60.21","60.46","60.74","59.93","469.03K","0.02%"
"2019년 07월 11일","60.20","60.44","60.94","60.14","573.02K","-0.38%"
"2019년 07월 10일","60.43","58.40","60.53","58.35","690.66K","4.50%"
"2019년 07월 09일","57.83","57.56","59.10","57.29","551.87K","0.29%"
"2019년 07월 08일","57.66","57.77","58.46","57.30","540.86K","0.26%"
"2019년 07월 05일","57.51","57.38","57.82","56.29","698.02K","1.25%"
"2019년 07월 04일","56.80","57.41","57.57","56.48","-","-0.94%"
"2019년 07월 03일","57.34","56.49","57.48","56.04","600.13K","1.94%"
"2019년 07월 02일","56.25","59.14","59.43","56.09","878.94K","-4.81%"
"2019년 07월 01일","59.09","59.27","60.28","58.34","674.89K","1.06%"
"2019년 06월 28일","58.47","59.22","59.80","57.75","556.10K","-1.62%"
"2019년 06월 27일","59.43","59.27","59.73","58.61","531.41K","0.08%"
"2019년 06월 26일","59.38","58.84","59.93","58.65","686.82K","2.68%"
"2019년 06월 25일","57.83","57.74","58.84","57.20","673.14K","-0.12%"
"2019년 06월 24일","57.90","57.72","58.22","56.75","597.16K","0.82%"
"2019년 06월 21일","57.43","57.26","57.98","56.66","676.05K","1.38%"
"2019년 06월 20일","56.65","54.12","57.02","54.11","27.88K","5.38%"
"2019년 06월 19일","53.76","54.09","54.42","53.28","122.84K","-0.26%"
"2019년 06월 18일","53.90","51.95","54.31","51.50","181.64K","3.79%"
"2019년 06월 17일","51.93","52.50","52.74","51.58","397.87K","-1.10%"
"2019년 06월 14일","52.51","52.18","52.98","51.70","574.23K","0.44%"
"2019년 06월 13일","52.28","51.07","53.45","50.92","945.02K","2.23%"
"2019년 06월 12일","51.14","53.04","53.05","50.72","786.11K","-4.00%"
"2019년 06월 11일","53.27","53.43","54.04","52.91","642.94K","0.02%"
"2019년 06월 10일","53.26","54.24","54.84","53.05","687.15K","-1.35%"
"2019년 06월 07일","53.99","53.10","54.32","52.62","828.13K","2.66%"
"2019년 06월 06일","52.59","51.66","53.30","51.17","790.07K","1.76%"
"2019년 06월 05일","51.68","52.86","53.41","50.60","943.19K","-3.37%"
"2019년 06월 04일","53.48","52.89","53.78","52.43","831.63K","0.43%"
"2019년 06월 03일","53.25","53.42","54.63","52.11","984.31K","-0.47%"
"2019년 05월 31일","53.50","56.46","56.61","53.05","1.03M","-5.46%"
"2019년 05월 30일","56.59","59.12","59.70","56.33","842.28K","-3.77%"
"2019년 05월 29일","58.81","59.07","59.14","56.88","1.12M","-0.56%"
"2019년 05월 28일","59.14","58.94","59.57","58.13","1.02M","-0.03%"
"2019년 05월 27일","59.16","58.77","59.26","58.14","-","0.66%"
"2019년 05월 26일","58.77","58.94","59.00","58.67","-","0.24%"
"2019년 05월 24일","58.63","58.21","59.10","57.50","758.10K","1.24%"
"2019년 05월 23일","57.91","61.31","61.41","57.33","1.11M","-5.71%"
"2019년 05월 22일","61.42","62.95","63.00","61.03","766.73K","-2.49%"
"2019년 05월 21일","62.99","63.22","63.60","62.75","28.91K","-0.17%"
"2019년 05월 20일","63.10","62.93","63.81","62.45","131.89K","0.54%"
"2019년 05월 17일","62.76","63.12","63.64","62.52","215.80K","-0.17%"
"2019년 05월 16일","62.87","62.12","63.48","62.08","545.68K","1.37%"
"2019년 05월 15일","62.02","61.37","62.34","60.85","723.00K","0.39%"
"2019년 05월 14일","61.78","60.86","62.11","60.69","751.67K","1.21%"
"2019년 05월 13일","61.04","61.65","63.33","60.64","1.00M","-1.01%"
"2019년 05월 10일","61.66","61.64","62.49","61.42","786.49K","-0.06%"
"2019년 05월 09일","61.70","62.02","62.21","60.92","769.58K","-0.68%"
"2019년 05월 08일","62.12","61.44","62.37","61.07","791.77K","1.17%"
"2019년 05월 07일","61.40","62.17","62.49","60.66","842.81K","-1.37%"
"2019년 05월 06일","62.25","61.43","62.95","60.04","768.81K","0.50%"
"2019년 05월 03일","61.94","61.55","62.52","61.30","646.87K","0.21%"
"2019년 05월 02일","61.81","63.61","63.68","60.95","914.66K","-2.81%"
"2019년 05월 01일","63.60","63.40","63.93","62.77","676.87K","-0.49%"
"2019년 04월 30일","63.91","63.58","64.75","63.30","750.49K","0.65%"
"2019년 04월 29일","63.50","62.95","63.69","62.46","654.08K","0.32%"
"2019년 04월 26일","63.30","65.13","65.18","62.28","1.00M","-2.93%"
"2019년 04월 25일","65.21","65.81","66.28","64.90","603.00K","-1.03%"
"2019년 04월 24일","65.89","66.17","66.43","65.66","678.39K","-0.62%"
"2019년 04월 23일","66.30","65.75","66.60","65.58","700.60K","0.91%"
"2019년 04월 22일","65.70","64.00","65.92","64.00","30.14K","2.66%"
"2019년 04월 18일","64.00","63.75","64.16","63.46","148.24K","0.38%"
"2019년 04월 17일","63.76","64.32","64.61","63.66","235.38K","-0.45%"
"2019년 04월 16일","64.05","63.57","64.37","62.99","547.47K","1.03%"
"2019년 04월 15일","63.40","63.76","63.84","63.03","555.86K","-0.77%"
"2019년 04월 12일","63.89","63.71","64.65","63.66","625.59K","0.49%"
"2019년 04월 11일","63.58","64.48","64.49","63.31","760.50K","-1.59%"
"2019년 04월 10일","64.61","64.22","64.70","64.05","722.22K","0.98%"
"2019년 04월 09일","63.98","64.40","64.79","63.68","790.68K","-0.65%"
"2019년 04월 08일","64.40","63.33","64.48","63.13","895.77K","2.09%"
"2019년 04월 05일","63.08","62.18","63.34","61.82","686.86K","1.58%"
"2019년 04월 04일","62.10","62.50","62.77","61.89","684.97K","-0.58%"
"2019년 04월 03일","62.46","62.64","62.99","62.05","799.67K","-0.19%"
"2019년 04월 02일","62.58","61.81","62.75","61.60","793.23K","1.61%"
"2019년 04월 01일","61.59","60.24","61.80","60.13","670.81K","2.41%"
"2019년 03월 29일","60.14","59.53","60.73","59.41","705.56K","1.42%"
"2019년 03월 28일","59.30","59.40","59.56","58.20","712.21K","-0.19%"
"2019년 03월 27일","59.41","60.03","60.22","58.81","732.15K","-0.88%"
"2019년 03월 26일","59.94","59.12","60.38","59.04","685.99K","1.90%"
"2019년 03월 25일","58.82","58.98","59.35","58.17","705.40K","-0.37%"
"2019년 03월 22일","59.04","59.87","60.07","58.28","738.84K","-1.57%"
"2019년 03월 21일","59.98","59.99","60.39","59.66","655.38K","0.25%"
"2019년 03월 20일","59.83","59.02","60.12","58.39","31.13K","1.36%"
"2019년 03월 19일","59.03","59.01","59.57","58.62","114.82K","-0.10%"
"2019년 03월 18일","59.09","58.45","59.23","58.05","157.24K","0.97%"
"2019년 03월 15일","58.52","58.51","58.95","57.74","507.39K","-0.15%"
"2019년 03월 14일","58.61","58.35","58.74","58.00","567.60K","0.60%"
"2019년 03월 13일","58.26","57.09","58.48","57.01","610.62K","2.44%"
"2019년 03월 12일","56.87","56.76","57.55","56.74","652.80K","0.14%"
"2019년 03월 11일","56.79","56.07","57.01","55.96","597.16K","1.28%"
"2019년 03월 08일","56.07","56.43","56.51","54.52","747.36K","-1.04%"
"2019년 03월 07일","56.66","56.20","56.99","56.08","628.82K","0.78%"
"2019년 03월 06일","56.22","56.28","56.40","55.42","637.68K","-0.60%"
"2019년 03월 05일","56.56","56.45","57.19","56.09","538.40K","-0.05%"
"2019년 03월 04일","56.59","55.83","57.00","55.81","549.40K","1.42%"
"2019년 03월 01일","55.80","57.22","57.88","55.57","684.19K","-2.48%"
"2019년 02월 28일","57.22","57.00","57.43","56.43","496.68K","0.49%"
"2019년 02월 27일","56.94","55.95","57.39","55.72","577.23K","2.59%"
"2019년 02월 26일","55.50","55.46","56.08","55.02","538.92K","0.04%"
"2019년 02월 25일","55.48","57.17","57.53","55.08","723.01K","-3.11%"
"2019년 02월 22일","57.26","56.84","57.81","56.71","513.44K","0.53%"
"2019년 02월 21일","56.96","57.24","57.61","56.64","546.20K","0.07%"
"2019년 02월 20일","56.92","55.94","57.55","55.48","37.68K","1.48%"
