,date,sp,doller,fed
0,2022-05-10,"4,001.05",103.919998,0.83
1,2022-05-09,"3,991.24",103.650002,0.83
2,2022-05-06,"4,123.34",103.660004,0.83
3,2022-05-05,"4,146.87",103.75,0.83
4,2022-05-04,"4,300.17",102.589996,0.33
5,2022-05-03,"4,175.48",103.470001,0.33
6,2022-05-02,"4,155.38",103.739998,0.33
7,2022-04-29,"4,131.93",102.959999,0.33
8,2022-04-28,"4,287.50",103.620003,0.33
9,2022-04-27,"4,183.96",102.949997,0.33
10,2022-04-26,"4,175.20",102.300003,0.33
11,2022-04-25,"4,296.12",101.75,0.33
12,2022-04-22,"4,271.78",101.220001,0.33
13,2022-04-21,"4,393.66",100.580002,0.33
14,2022-04-20,"4,459.45",100.389999,0.33
15,2022-04-19,"4,462.21",100.959999,0.33
16,2022-04-18,"4,391.69",100.779999,0.33
17,2022-04-14,"4,392.59",100.32,0.33
18,2022-04-13,"4,446.59",99.879997,0.33
19,2022-04-12,"4,397.45",100.290001,0.33
20,2022-04-11,"4,412.53",99.93,0.33
21,2022-04-08,"4,488.28",99.800003,0.33
22,2022-04-07,"4,500.21",99.75,0.33
23,2022-04-06,"4,481.15",99.599998,0.33
24,2022-04-05,"4,525.12",99.470001,0.33
25,2022-04-04,"4,582.64",98.989998,0.33
26,2022-04-01,"4,545.86",98.629997,0.33
27,2022-03-31,"4,530.41",98.309998,0.33
28,2022-03-30,"4,602.45",97.790001,0.33
29,2022-03-29,"4,631.60",98.400002,0.33
30,2022-03-28,"4,575.52",99.089996,0.33
31,2022-03-25,"4,543.06",98.809998,0.33
32,2022-03-24,"4,520.16",98.790001,0.33
33,2022-03-23,"4,456.24",98.620003,0.33
34,2022-03-22,"4,511.61",98.489998,0.33
35,2022-03-21,"4,461.18",98.5,0.33
36,2022-03-18,"4,463.12",98.230003,0.33
37,2022-03-17,"4,411.67",98.010002,0.33
38,2022-03-16,"4,357.86",98.379997,0.08
39,2022-03-15,"4,262.45",99.07,0.08
40,2022-03-14,"4,173.11",99.059998,0.08
41,2022-03-11,"4,204.31",99.120003,0.08
42,2022-03-10,"4,259.52",98.510002,0.08
