"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",97.4638,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",97.51555,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",97.65779,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",97.84142,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",98.02344,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.22843,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.48284,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",98.81794,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.20725,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.60226,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",99.96774,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.2498,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.3629,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.3068,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",100.1571,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",99.99762,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",99.87748,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",99.78825,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",99.82239,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",100.0669,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.6135,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.4969,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",102.5342,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",103.4483,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",104.0148,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-01",104.0829,
