,날짜,S&P500,미국채10년,GSCI,기준금리,연도,CPI,quarter,q_gdp,last_gdp,last_unem,last_infl,달러인덱스
0,2022-03-01,4306.26,1.716,3558.3401,1.25,2022,287.708,2022-Q1,7.77464469361185,5.7,3.9,7.0,97.406
1,2022-02-28,4373.79,1.822,3369.301,1.25,2022,287.58207142857145,2022-Q1,7.77464469361185,5.7,3.9,7.0,96.694
2,2022-02-25,4384.62,1.97,3266.9109,1.25,2022,287.20428571428573,2022-Q1,7.77464469361185,5.7,3.9,7.0,96.619
3,2022-02-24,4288.7,1.97,3341.8611,1.25,2022,287.07835714285716,2022-Q1,7.77464469361185,5.7,3.9,7.0,97.118
4,2022-02-23,4225.5,1.998,3298.0601,1.25,2022,286.9524285714286,2022-Q1,7.77464469361185,5.7,3.9,7.0,96.188
5,2022-02-22,4304.74,1.944,3284.8469,1.25,2022,286.8265,2022-Q1,7.77464469361185,5.7,3.9,7.0,96.011
6,2022-02-18,4348.87,1.927,3221.5049,1.25,2022,286.3227857142857,2022-Q1,7.77464469361185,5.7,3.9,7.0,96.022
7,2022-02-17,4380.26,1.968,3213.0969,1.25,2022,286.19685714285714,2022-Q1,7.77464469361185,5.7,3.9,7.0,95.803
8,2022-02-16,4475.01,2.04,3243.343,1.25,2022,286.07092857142857,2022-Q1,7.77464469361185,5.7,3.9,7.0,95.697
9,2022-02-15,4471.07,2.043,3196.6111,1.25,2022,285.94500000000005,2022-Q1,7.77464469361185,5.7,3.9,7.0,95.993
10,2022-02-14,4401.67,1.986,3265.29,1.25,2022,285.8190714285715,2022-Q1,7.77464469361185,5.7,3.9,7.0,96.356
11,2022-02-11,4418.64,1.918,3218.686,1.25,2022,285.44128571428575,2022-Q1,7.77464469361185,5.7,3.9,7.0,96.073
12,2022-02-10,4504.06,2.043,3174.8,1.25,2022,285.3153571428572,2022-Q1,7.77464469361185,5.7,3.9,7.0,95.548
13,2022-02-09,4587.18,1.945,3177.708,1.25,2022,285.1894285714286,2022-Q1,7.77464469361185,5.7,3.9,7.0,95.494
