"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","1999-Q3",7.73085766729078,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","1999-Q4",8.66225623908358,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2000-Q1",8.21527006255883,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2000-Q2",7.78886575497522,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2000-Q3",4.96502484189479,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2000-Q4",4.80373336617611,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2001-Q1",4.93827466775247,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2001-Q2",4.50228728186564,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2001-Q3",1.78769550201333,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2001-Q4",2.7154033245112,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2002-Q1",5.28121552354983,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2002-Q2",5.05185453612752,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2002-Q3",4.88910663994852,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2002-Q4",3.78070940354674,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2003-Q1",3.60928011315639,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2003-Q2",3.74175448246439,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2003-Q3",6.66893747380503,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2003-Q4",6.25690220143771,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2004-Q1",6.20109260065704,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2004-Q2",6.20710938058289,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2004-Q3",5.16475785281008,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2004-Q4",5.82668037840272,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2005-Q1",4.71392239800014,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2005-Q2",5.34055241274255,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2005-Q3",6.29320778335171,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2005-Q4",6.07680220150207,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2006-Q1",6.09731056047537,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2006-Q2",6.28129905600462,
"OECD","NOMGDPFORECAST","TOT","AGRWTH","Q","2006-Q3",4.3955675026259,
