"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 12일","103.955","104.055","104.070","103.910","-","0.08%"
"2022년 05월 11일","103.874","103.955","104.150","103.405","-","-0.07%"
"2022년 05월 10일","103.943","103.725","104.005","103.530","21.95K","0.24%"
"2022년 05월 09일","103.689","103.690","104.210","103.420","33.56K","-0.00%"
"2022년 05월 06일","103.694","103.610","104.105","103.235","30.56K","-0.10%"
"2022년 05월 05일","103.802","102.570","103.970","102.375","42.44K","1.25%"
"2022년 05월 04일","102.523","103.468","103.662","102.477","-","-0.94%"
"2022년 05월 03일","103.496","103.600","103.700","103.060","13.75K","-0.13%"
"2022년 05월 02일","103.635","103.287","103.770","103.118","-","0.39%"
"2022년 04월 29일","103.230","103.680","103.680","102.812","-","-0.45%"
"2022년 04월 28일","103.692","103.005","103.945","103.005","-","0.70%"
"2022년 04월 27일","102.970","102.308","103.290","102.240","-","0.64%"
"2022년 04월 26일","102.318","101.705","102.370","101.535","23.22K","0.54%"
"2022년 04월 25일","101.769","101.105","101.865","101.050","19.57K","0.55%"
"2022년 04월 22일","101.213","100.635","101.340","100.485","30.37K","0.60%"
"2022년 04월 21일","100.614","100.350","100.675","99.810","32.55K","0.20%"
"2022년 04월 20일","100.417","101.000","101.045","100.215","26.31K","-0.54%"
"2022년 04월 19일","100.964","100.800","101.030","100.680","14.35K","0.20%"
"2022년 04월 18일","100.766","100.470","100.850","100.450","10.33K","0.44%"
"2022년 04월 14일","100.326","99.840","100.770","99.555","39.50K","0.41%"
"2022년 04월 13일","99.913","100.320","100.515","99.805","33.30K","-0.38%"
"2022년 04월 12일","100.292","100.020","100.335","99.740","21.00K","0.37%"
"2022년 04월 11일","99.924","99.690","100.050","99.610","14.58K","0.17%"
"2022년 04월 08일","99.753","99.825","100.200","99.745","25.96K","-0.01%"
"2022년 04월 07일","99.760","99.665","99.850","99.435","17.54K","0.15%"
"2022년 04월 06일","99.615","99.480","99.800","99.315","27.26K","0.19%"
"2022년 04월 05일","99.428","98.975","99.505","98.820","25.44K","0.46%"
"2022년 04월 04일","98.974","98.630","99.070","98.515","14.02K","0.35%"
"2022년 04월 01일","98.627","98.360","98.755","98.345","16.69K","0.27%"
"2022년 03월 31일","98.360","97.900","98.440","97.760","21.39K","0.50%"
"2022년 03월 30일","97.875","98.465","98.490","97.730","20.77K","-0.57%"
"2022년 03월 29일","98.441","99.050","99.265","98.055","32.14K","-0.62%"
"2022년 03월 28일","99.055","98.840","99.365","98.820","22.62K","0.24%"
"2022년 03월 25일","98.822","98.740","98.865","98.420","11.83K","0.02%"
"2022년 03월 24일","98.800","98.630","98.965","98.600","16.48K","0.19%"
"2022년 03월 23일","98.615","98.540","98.895","98.425","10.35K","0.09%"
"2022년 03월 22일","98.523","98.495","98.960","98.315","16.05K","0.02%"
"2022년 03월 21일","98.499","98.245","98.540","98.160","10.84K","0.28%"
"2022년 03월 18일","98.227","97.980","98.635","97.845","13.96K","0.26%"
"2022년 03월 17일","97.975","98.455","98.480","97.715","18.55K","-0.66%"
