,날짜,S&P500,미국채10년,GSCI,기준금리,last_gdp,last_unem,last_infl,CPI,달러인덱스,비율,종가,변동 %,updown
0,2021-05-04,11.09739100019608,48.19277108433735,16.281367741114085,-0.25,-3.4,6.7,1.4,2.0291592150631077,-0.287315356018803,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,164.66",-0.67%,0
1,2021-05-03,12.571347031963478,51.82072829131652,17.105959517963576,-0.25,-3.4,6.7,1.4,1.9710191155362216,0.3242649079417441,"(Decimal('0.1'), Decimal('0.1'), Decimal('0.5'), Decimal('0.3'))","4,192.66",0.27%,1
2,2021-04-30,11.197450480279246,55.988593155893525,17.876969872132317,-0.25,-3.4,6.7,1.4,1.990275343223178,0.0264991332575173,"(Decimal('0.1'), Decimal('0.1'), Decimal('0.5'), Decimal('0.3'))","4,181.17",-0.72%,0
3,2021-04-29,11.528566134420409,59.03257650542943,16.264624253235997,-0.25,-3.4,6.7,1.4,1.980892108508478,0.1835734902186258,"(Decimal('0.1'), Decimal('0.1'), Decimal('0.5'), Decimal('0.3'))","4,211.47",0.68%,1
4,2021-04-28,8.756708454340957,57.30880929332044,15.444055415485671,-0.25,-3.4,6.7,1.4,1.971506237561284,0.2780229479258554,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,183.18",-0.08%,0
5,2021-04-27,8.618131640106236,51.79090029041629,15.112552561921246,-0.25,-3.4,6.7,1.4,1.9621177292704812,0.7010693526201414,"(Decimal('0.1'), Decimal('0.1'), Decimal('0.5'), Decimal('0.3'))","4,186.72",-0.02%,0
6,2021-04-26,8.816937266202789,43.55432780847144,15.346239052737449,-0.25,-3.4,6.7,1.4,1.905289843770697,0.5156407334048819,"(Decimal('0.1'), Decimal('0.1'), Decimal('0.5'), Decimal('0.3'))","4,187.62",0.18%,1
7,2021-04-23,7.316503463471968,39.04418394950406,12.87743408245142,-0.25,-3.4,6.7,1.4,1.9245373004266293,1.2293264754134643,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,180.17",1.09%,1
8,2021-04-22,8.348455936757667,44.75394614670381,12.09334744930467,-0.25,-3.4,6.7,1.4,1.9151355887289203,1.111764510080231,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,134.98",-0.92%,0
9,2021-04-21,8.845431979172966,43.4065934065934,12.931526396696777,-0.25,-3.4,6.7,1.4,1.9057312330076144,0.8378560611922424,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,173.42",0.93%,1
10,2021-04-20,10.48258475419625,48.11407543698253,13.37640951406082,-0.25,-3.4,6.7,1.4,1.896324232147239,0.6344223882576574,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,134.94",-0.68%,0
11,2021-04-19,10.273373485722724,40.83259521700621,11.603634971675469,-0.25,-3.4,6.7,1.4,1.8824214991593904,0.8704850474910107,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,163.26",-0.53%,0
12,2021-04-16,9.46443945152552,44.13919413919413,12.783952015792888,-0.25,-3.4,6.7,1.4,1.873004598495557,1.5551737515934063,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,185.47",0.36%,1
13,2021-04-15,8.509703540207141,44.72984942426926,11.983383526141631,-0.25,-3.4,6.7,1.4,1.8635850469273303,1.4833838864657862,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,170.42",1.11%,1
14,2021-04-14,9.000397409207787,41.60839160839164,10.720923758846268,-0.25,-3.4,6.7,1.4,1.854162843335168,1.9763723574347147,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,124.66",-0.41%,0
15,2021-04-13,7.930336655615632,49.151027703306525,9.500208369893189,-0.25,-3.4,6.7,1.4,1.8447379865989608,1.8818690431436864,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,141.59",0.33%,1
16,2021-04-12,8.544372849184635,53.74653098982424,10.72399354428082,-0.25,-3.4,6.7,1.4,1.8164474863149067,2.322689523471154,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,127.99",-0.02%,0
17,2021-04-09,9.312085461055355,56.49663137632339,11.24353913219441,-0.25,-3.4,6.7,1.4,1.807012005788264,2.537002594914864,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,128.80",0.77%,1
18,2021-04-08,9.474195435299412,75.81151832460733,11.132141896995368,-0.25,-3.4,6.7,1.4,1.7975738665073422,3.31836160085808,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,097.17",0.42%,1
19,2021-04-07,10.08714685257995,80.61002178649235,14.222865475615832,-0.25,-3.4,6.7,1.4,1.788133067348154,3.287141115547644,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,079.95",0.15%,1
20,2021-04-06,8.56853040545037,86.35371179039302,12.801611569307347,-0.25,-3.4,6.7,1.4,1.7786896071861649,3.0608269797985423,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,073.94",-0.10%,0
21,2021-04-05,7.712403939936332,80.66954643628509,15.61633128990762,-0.25,-3.4,6.7,1.4,1.734504951299062,3.396222217278124,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,077.91",1.44%,1
22,2021-04-01,6.596387481754956,85.53191489361703,14.890574531689907,-0.25,-3.4,6.7,1.4,1.7215607176537016,4.001160079867041,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))","4,019.87",1.18%,1
