"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","1978-02",6.644867,
"AUS","HUR","TOT","PC_LF","M","1978-03",6.302329,
"AUS","HUR","TOT","PC_LF","M","1978-04",6.267148,
"AUS","HUR","TOT","PC_LF","M","1978-05",6.209167,
"AUS","HUR","TOT","PC_LF","M","1978-06",6.303327,
"AUS","HUR","TOT","PC_LF","M","1978-07",6.222891,
"AUS","HUR","TOT","PC_LF","M","1978-08",6.490117,
"AUS","HUR","TOT","PC_LF","M","1978-09",6.255816,
"AUS","HUR","TOT","PC_LF","M","1978-10",6.163075,
"AUS","HUR","TOT","PC_LF","M","1978-11",6.330316,
"AUS","HUR","TOT","PC_LF","M","1978-12",6.404912,
"AUS","HUR","TOT","PC_LF","M","1979-01",6.370493,
"AUS","HUR","TOT","PC_LF","M","1979-02",6.257102,
"AUS","HUR","TOT","PC_LF","M","1979-03",6.302608,
"AUS","HUR","TOT","PC_LF","M","1979-04",6.497991,
"AUS","HUR","TOT","PC_LF","M","1979-05",6.20331,
"AUS","HUR","TOT","PC_LF","M","1979-06",6.250967,
"AUS","HUR","TOT","PC_LF","M","1979-07",6.274221,
"AUS","HUR","TOT","PC_LF","M","1979-08",6.11784,
"AUS","HUR","TOT","PC_LF","M","1979-09",6.232357,
"AUS","HUR","TOT","PC_LF","M","1979-10",6.383507,
"AUS","HUR","TOT","PC_LF","M","1979-11",6.044292,
"AUS","HUR","TOT","PC_LF","M","1979-12",6.119713,
"AUS","HUR","TOT","PC_LF","M","1980-01",6.146189,
"AUS","HUR","TOT","PC_LF","M","1980-02",5.998692,
"AUS","HUR","TOT","PC_LF","M","1980-03",5.936146,
"AUS","HUR","TOT","PC_LF","M","1980-04",6.114644,
"AUS","HUR","TOT","PC_LF","M","1980-05",6.245418,
"AUS","HUR","TOT","PC_LF","M","1980-06",6.322504,
"AUS","HUR","TOT","PC_LF","M","1980-07",6.077494,
"AUS","HUR","TOT","PC_LF","M","1980-08",6.176674,
"AUS","HUR","TOT","PC_LF","M","1980-09",6.140678,
"AUS","HUR","TOT","PC_LF","M","1980-10",6.054791,
"AUS","HUR","TOT","PC_LF","M","1980-11",5.84972,
"AUS","HUR","TOT","PC_LF","M","1980-12",6.050725,
"AUS","HUR","TOT","PC_LF","M","1981-01",5.916251,
"AUS","HUR","TOT","PC_LF","M","1981-02",5.616568,
"AUS","HUR","TOT","PC_LF","M","1981-03",5.745607,
"AUS","HUR","TOT","PC_LF","M","1981-04",5.554529,
"AUS","HUR","TOT","PC_LF","M","1981-05",5.58832,
"AUS","HUR","TOT","PC_LF","M","1981-06",5.373744,
"AUS","HUR","TOT","PC_LF","M","1981-07",5.827485,
"AUS","HUR","TOT","PC_LF","M","1981-08",5.845825,
"AUS","HUR","TOT","PC_LF","M","1981-09",5.811767,
"AUS","HUR","TOT","PC_LF","M","1981-10",5.872079,
"AUS","HUR","TOT","PC_LF","M","1981-11",5.994548,
"AUS","HUR","TOT","PC_LF","M","1981-12",6.026475,
"AUS","HUR","TOT","PC_LF","M","1982-01",5.982417,
"AUS","HUR","TOT","PC_LF","M","1982-02",6.308355,
"AUS","HUR","TOT","PC_LF","M","1982-03",6.322474,
"AUS","HUR","TOT","PC_LF","M","1982-04",6.333239,
"AUS","HUR","TOT","PC_LF","M","1982-05",6.592115,
"AUS","HUR","TOT","PC_LF","M","1982-06",6.766427,
"AUS","HUR","TOT","PC_LF","M","1982-07",6.883143,
"AUS","HUR","TOT","PC_LF","M","1982-08",7.011209,
"AUS","HUR","TOT","PC_LF","M","1982-09",7.429191,
"AUS","HUR","TOT","PC_LF","M","1982-10",8.294353,
