"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","1999-07",6.676052,
"AUS","HUR","TOT","PC_LF","M","1999-08",6.907131,
"AUS","HUR","TOT","PC_LF","M","1999-09",7.042515,
"AUS","HUR","TOT","PC_LF","M","1999-10",6.777158,
"AUS","HUR","TOT","PC_LF","M","1999-11",6.440176,
"AUS","HUR","TOT","PC_LF","M","1999-12",6.685201,
"AUS","HUR","TOT","PC_LF","M","2000-01",6.768972,
"AUS","HUR","TOT","PC_LF","M","2000-02",6.619944,
"AUS","HUR","TOT","PC_LF","M","2000-03",6.565782,
"AUS","HUR","TOT","PC_LF","M","2000-04",6.376769,
"AUS","HUR","TOT","PC_LF","M","2000-05",6.415163,
"AUS","HUR","TOT","PC_LF","M","2000-06",6.116051,
"AUS","HUR","TOT","PC_LF","M","2000-07",5.954925,
"AUS","HUR","TOT","PC_LF","M","2000-08",6.052351,
"AUS","HUR","TOT","PC_LF","M","2000-09",5.964069,
"AUS","HUR","TOT","PC_LF","M","2000-10",6.010425,
"AUS","HUR","TOT","PC_LF","M","2000-11",6.261842,
"AUS","HUR","TOT","PC_LF","M","2000-12",6.244661,
"AUS","HUR","TOT","PC_LF","M","2001-01",6.141033,
"AUS","HUR","TOT","PC_LF","M","2001-02",6.502514,
"AUS","HUR","TOT","PC_LF","M","2001-03",6.45946,
"AUS","HUR","TOT","PC_LF","M","2001-04",6.783172,
"AUS","HUR","TOT","PC_LF","M","2001-05",6.893919,
"AUS","HUR","TOT","PC_LF","M","2001-06",6.933984,
"AUS","HUR","TOT","PC_LF","M","2001-07",6.880962,
"AUS","HUR","TOT","PC_LF","M","2001-08",6.881994,
"AUS","HUR","TOT","PC_LF","M","2001-09",6.842879,
"AUS","HUR","TOT","PC_LF","M","2001-10",7.194396,
"AUS","HUR","TOT","PC_LF","M","2001-11",6.884806,
"AUS","HUR","TOT","PC_LF","M","2001-12",6.862207,
"AUS","HUR","TOT","PC_LF","M","2002-01",6.914576,
"AUS","HUR","TOT","PC_LF","M","2002-02",6.53722,
"AUS","HUR","TOT","PC_LF","M","2002-03",6.431297,
"AUS","HUR","TOT","PC_LF","M","2002-04",6.34656,
"AUS","HUR","TOT","PC_LF","M","2002-05",6.373549,
"AUS","HUR","TOT","PC_LF","M","2002-06",6.496713,
"AUS","HUR","TOT","PC_LF","M","2002-07",6.180488,
"AUS","HUR","TOT","PC_LF","M","2002-08",6.350584,
"AUS","HUR","TOT","PC_LF","M","2002-09",6.313393,
"AUS","HUR","TOT","PC_LF","M","2002-10",6.129097,
"AUS","HUR","TOT","PC_LF","M","2002-11",6.162391,
"AUS","HUR","TOT","PC_LF","M","2002-12",6.183089,
"AUS","HUR","TOT","PC_LF","M","2003-01",6.082192,
"AUS","HUR","TOT","PC_LF","M","2003-02",5.955863,
"AUS","HUR","TOT","PC_LF","M","2003-03",6.13197,
"AUS","HUR","TOT","PC_LF","M","2003-04",6.030808,
"AUS","HUR","TOT","PC_LF","M","2003-05",6.069918,
"AUS","HUR","TOT","PC_LF","M","2003-06",6.055619,
"AUS","HUR","TOT","PC_LF","M","2003-07",6.128766,
