,변경일자,변경일자,기준금리
0,2022,04월 14일,1.50
1,2022,01월 14일,1.25
2,2021,11월 25일,1.00
3,2021,08월 26일,0.75
4,2020,05월 28일,0.50
5,2020,03월 17일,0.75
6,2019,10월 16일,1.25
7,2019,07월 18일,1.50
8,2018,11월 30일,1.75
9,2017,11월 30일,1.50
10,2016,06월 09일,1.25
11,2015,06월 11일,1.50
12,2015,03월 12일,1.75
13,2014,10월 15일,2.00
14,2014,08월 14일,2.25
15,2013,05월 09일,2.50
16,2012,10월 11일,2.75
17,2012,07월 12일,3.00
18,2011,06월 10일,3.25
19,2011,03월 10일,3.00
20,2011,01월 13일,2.75
21,2010,11월 16일,2.50
22,2010,07월 09일,2.25
23,2009,02월 12일,2.00
24,2009,01월 09일,2.50
25,2008,12월 11일,3.00
26,2008,11월 07일,4.00
27,2008,10월 27일,4.25
28,2008,10월 09일,5.00
29,2008,08월 07일,5.25
30,2007,08월 09일,5.00
31,2007,07월 12일,4.75
32,2006,08월 10일,4.50
33,2006,06월 08일,4.25
34,2006,02월 09일,4.00
35,2005,12월 08일,3.75
36,2005,10월 11일,3.50
37,2004,11월 11일,3.25
38,2004,08월 12일,3.50
39,2003,07월 10일,3.75
40,2003,05월 13일,4.00
41,2002,05월 07일,4.25
42,2001,09월 19일,4.00
43,2001,08월 09일,4.50
44,2001,07월 05일,4.75
45,2001,02월 08일,5.00
46,2000,10월 05일,5.25
47,2000,02월 10일,5.00
