날짜,0
2017-02-06,"(Decimal('0.5'), Decimal('0.1'), Decimal('0.3'), Decimal('0.1'))"
2018-10-26,"(Decimal('0.5'), Decimal('0.3'), Decimal('0.1'), Decimal('0.1'))"
2008-05-20,"(Decimal('0.1'), Decimal('0.3'), Decimal('0.1'), Decimal('0.5'))"
2006-12-21,"(Decimal('0.5'), Decimal('0.3'), Decimal('0.1'), Decimal('0.1'))"
2008-02-29,"(Decimal('0.5'), Decimal('0.1'), Decimal('0.3'), Decimal('0.1'))"
2012-02-08,"(Decimal('0.5'), Decimal('0.1'), Decimal('0.1'), Decimal('0.3'))"
2012-07-09,"(Decimal('0.5'), Decimal('0.1'), Decimal('0.3'), Decimal('0.1'))"
2009-10-20,"(Decimal('0.5'), Decimal('0.3'), Decimal('0.1'), Decimal('0.1'))"
2004-09-15,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))"
2017-08-09,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))"
2017-09-27,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))"
2014-03-04,"(Decimal('0.5'), Decimal('0.3'), Decimal('0.1'), Decimal('0.1'))"
2005-11-16,"(Decimal('0.5'), Decimal('0.3'), Decimal('0.1'), Decimal('0.1'))"
2012-11-01,"(Decimal('0.5'), Decimal('0.3'), Decimal('0.1'), Decimal('0.1'))"
2007-09-05,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))"
2009-11-24,"(Decimal('0.5'), Decimal('0.3'), Decimal('0.1'), Decimal('0.1'))"
2020-03-17,"(Decimal('0.5'), Decimal('0.1'), Decimal('0.3'), Decimal('0.1'))"
2020-01-08,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))"
2007-05-22,"(Decimal('0.1'), Decimal('0.3'), Decimal('0.5'), Decimal('0.1'))"
2019-10-02,"(Decimal('0.5'), Decimal('0.3'), Decimal('0.1'), Decimal('0.1'))"
2003-07-14,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))"
2013-11-13,"(Decimal('0.5'), Decimal('0.3'), Decimal('0.1'), Decimal('0.1'))"
2013-10-17,"(Decimal('0.5'), Decimal('0.3'), Decimal('0.1'), Decimal('0.1'))"
2004-10-08,"(Decimal('0.5'), Decimal('0.3'), Decimal('0.1'), Decimal('0.1'))"
2017-06-08,"(Decimal('0.5'), Decimal('0.3'), Decimal('0.1'), Decimal('0.1'))"
2010-05-06,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))"
