,infl
1914-01,2.0
1914-02,1.0
1914-03,1.0
1914-04,0.0
1914-05,2.1
1914-06,1.0
1914-07,1.0
1914-08,3.0
1914-09,2.0
1914-10,1.0
1914-11,1.0
1914-12,1.0
1915-01,1.0
1915-02,1.0
1915-03,0.0
1915-04,2.0
1915-05,2.0
1915-06,2.0
1915-07,1.0
1915-08,-1.0
1915-09,-1.0
1915-10,1.0
1915-11,1.0
1915-12,2.0
1916-01,3.0
1916-02,4.0
1916-03,6.1
1916-04,6.0
1916-05,5.9
1916-06,6.9
1916-07,6.9
1916-08,7.9
1916-09,9.9
1916-10,10.8
1916-11,11.7
1916-12,12.6
1917-01,12.5
1917-02,15.4
1917-03,14.3
1917-04,18.9
1917-05,19.6
1917-06,20.4
1917-07,18.5
1917-08,19.3
1917-09,19.8
1917-10,19.5
1917-11,17.4
1917-12,18.1
1918-01,19.7
1918-02,17.5
1918-03,16.7
1918-04,12.7
1918-05,13.3
1918-06,13.1
1918-07,18.0
1918-08,18.5
1918-09,18.0
1918-10,18.5
1918-11,20.7
1918-12,20.4
1919-01,17.9
1919-02,14.9
1919-03,17.1
1919-04,17.6
1919-05,16.6
1919-06,15.0
1919-07,15.2
1919-08,14.9
1919-09,13.4
1919-10,13.1
1919-11,13.5
1919-12,14.5
1920-01,17.0
1920-02,20.4
1920-03,20.1
1920-04,21.6
1920-05,21.9
1920-06,23.7
1920-07,19.5
1920-08,14.7
1920-09,12.4
1920-10,9.9
1920-11,7.0
1920-12,2.6
1921-01,-1.6
1921-02,-5.6
1921-03,-7.1
1921-04,-10.8
1921-05,-14.1
1921-06,-15.8
1921-07,-14.9
1921-08,-12.8
1921-09,-12.5
1921-10,-12.1
1921-11,-12.1
1921-12,-10.8
1922-01,-11.1
1922-02,-8.2
1922-03,-8.7
1922-04,-7.7
1922-05,-5.6
1922-06,-5.1
1922-07,-5.1
1922-08,-6.2
1922-09,-5.1
1922-10,-4.6
1922-11,-3.4
1922-12,-2.3
1923-01,-0.6
1923-02,-0.6
1923-03,0.6
1923-04,1.2
1923-05,1.2
1923-06,1.8
1923-07,2.4
1923-08,3.0
1923-09,3.6
1923-10,3.6
1923-11,3.0
1923-12,2.4
1924-01,3.0
1924-02,2.4
1924-03,1.8
1924-04,0.6
1924-05,0.6
1924-06,0.0
1924-07,-0.6
1924-08,-0.6
1924-09,-0.6
1924-10,-0.6
1924-11,-0.6
1924-12,0.0
1925-01,0.0
1925-02,0.0
1925-03,1.2
1925-04,1.2
1925-05,1.8
1925-06,2.9
1925-07,3.5
1925-08,4.1
1925-09,3.5
1925-10,2.9
1925-11,4.7
1925-12,3.5
1926-01,3.5
1926-02,4.1
1926-03,2.9
1926-04,4.1
1926-05,2.9
1926-06,1.1
1926-07,-1.1
1926-08,-1.7
1926-09,-1.1
1926-10,-0.6
1926-11,-1.7
1926-12,-1.1
1927-01,-2.2
1927-02,-2.8
1927-03,-2.8
1927-04,-3.4
1927-05,-2.2
1927-06,-0.6
1927-07,-1.1
1927-08,-1.1
1927-09,-1.1
1927-10,-1.1
1927-11,-2.3
1927-12,-2.3
1928-01,-1.1
1928-02,-1.7
1928-03,-1.2
1928-04,-1.2
1928-05,-1.1
1928-06,-2.8
1928-07,-1.2
1928-08,-0.6
1928-09,0.0
1928-10,-1.1
1928-11,-0.6
1928-12,-1.2
1929-01,-1.2
1929-02,0.0
1929-03,-0.6
1929-04,-1.2
1929-05,-1.2
1929-06,0.0
1929-07,1.2
1929-08,1.2
1929-09,0.0
1929-10,0.6
1929-11,0.6
1929-12,0.6
1930-01,0.0
1930-02,-0.6
1930-03,-0.6
1930-04,0.6
1930-05,-0.6
1930-06,-1.8
1930-07,-4.0
1930-08,-4.6
1930-09,-4.0
1930-10,-4.6
1930-11,-5.2
1930-12,-6.4
1931-01,-7.0
1931-02,-7.6
1931-03,-7.7
1931-04,-8.8
1931-05,-9.5
1931-06,-10.1
1931-07,-9.0
1931-08,-8.5
1931-09,-9.6
1931-10,-9.7
1931-11,-10.4
1931-12,-9.3
1932-01,-10.1
1932-02,-10.2
1932-03,-10.3
1932-04,-10.3
1932-05,-10.5
1932-06,-9.9
1932-07,-9.9
1932-08,-10.6
1932-09,-10.7
1932-10,-10.7
1932-11,-10.2
1932-12,-10.3
1933-01,-9.8
1933-02,-9.9
1933-03,-10.0
1933-04,-9.4
1933-05,-8.0
1933-06,-6.6
1933-07,-3.7
1933-08,-2.2
1933-09,-1.5
1933-10,-0.8
1933-11,0.0
1933-12,0.8
1934-01,2.3
1934-02,4.7
1934-03,5.6
1934-04,5.6
1934-05,5.6
1934-06,5.5
1934-07,2.3
1934-08,1.5
1934-09,3.0
1934-10,2.3
1934-11,2.3
1934-12,1.5
1935-01,3.0
1935-02,3.0
1935-03,3.0
1935-04,3.8
1935-05,3.8
1935-06,2.2
1935-07,2.2
1935-08,2.2
1935-09,0.7
1935-10,1.5
1935-11,2.2
1935-12,3.0
1936-01,1.5
1936-02,0.7
1936-03,0.0
1936-04,-0.7
1936-05,-0.7
1936-06,0.7
